id	targetid	site	pop	state	district	species	chr_race	latitude	longitude	miss
AL01	1896100	Aldinga Beach	Aldinga_Bch	SA	SA	Vandiemenella	P24XO	-35.28934	138.445869	0.0538366
AL04	1896102	Aldinga Beach	Aldinga_Bch	SA	SA	Vandiemenella	P24XO	-35.28934	138.445869	0.0544554
AL05	1896103	Aldinga Beach	Aldinga_Bch	SA	SA	Vandiemenella	P24XO	-35.28934	138.445869	0.0544554
AL16	1896106	Aldinga Beach	Aldinga_Bch	SA	SA	Vandiemenella	P24XO	-35.28934	138.445869	0.0507426
ML01	1896107	Melrose	Melrose	SA	SA	Vandiemenella	P24XO	-32.81857	138.187403	0.0742574
ML05	1896109	Melrose	Melrose	SA	SA	Vandiemenella	P24XO	-32.81857	138.187403	0.052599
ML08	1896110	Melrose	Melrose	SA	SA	Vandiemenella	P24XO	-32.81857	138.187403	0.049505
ML17	1896112	Melrose	Melrose	SA	SA	Vandiemenella	P24XO	-32.81857	138.187403	0.0445545
ML03	1896113	Melrose	Melrose	SA	SA	Vandiemenella	P24XO	-32.81857	138.187403	0.0625
PGN04	1896115	6.6 km N of Port Germein	Pt_Germein1	SA	SA	Vandiemenella	P24XO/P45bXO	-32.986819	138.068489	0.0488861
PGN05	1896116	6.6 km N of Port Germein	Pt_Germein1	SA	SA	Vandiemenella	P24XO/P45bXO	-32.986819	138.068489	0.0519802
PGN17	1896120	6.6 km N of Port Germein	Pt_Germein1	SA	SA	Vandiemenella	P24XO/P45bXO	-32.986819	138.068489	0.0569307
TG25	1896122	Telowie Gorge Conservation Park	Telowie_Gg	SA	SA	Vandiemenella	P24XO	-33.025312	138.089009	0.0569307
TG32	1896127	Telowie Gorge Conservation Park	Telowie_Gg	SA	SA	Vandiemenella	P24XO	-33.025312	138.089009	0.0674505
PT01	1896128	Point Turton	Point_Turton	SA	SA	Vandiemenella	P24XY	-34.947292	137.400994	0.0816832
PT07	1896129	Point Turton	Point_Turton	SA	SA	Vandiemenella	P24XY	-34.947292	137.400994	0.0717822
PT04	1896130	Point Turton	Point_Turton	SA	SA	Vandiemenella	P24XY	-34.947292	137.400994	0.0717822
PT06	1896131	Point Turton	Point_Turton	SA	SA	Vandiemenella	P24XY	-34.947292	137.400994	0.0711634
PT08	1896132	Point Turton	Point_Turton	SA	SA	Vandiemenella	P24XY	-34.947292	137.400994	0.0631188
PT11	1896133	Point Turton	Point_Turton	SA	SA	Vandiemenella	P24XY	-34.947292	137.400994	0.0618812
TW01	1896134	Tiddy Widdy Beach	Tiddy_Widdy	SA	SA	Vandiemenella	P24XY	-34.396459	137.944959	0.0600248
TW02	1896135	Tiddy Widdy Beach	Tiddy_Widdy	SA	SA	Vandiemenella	P24XY	-34.396459	137.944959	0.0668317
TW11	1896136	Tiddy Widdy Beach	Tiddy_Widdy	SA	SA	Vandiemenella	P24XY	-34.396459	137.944959	0.0693069
TW16	1896137	Tiddy Widdy Beach	Tiddy_Widdy	SA	SA	Vandiemenella	P24XY	-34.396459	137.944959	0.0618812
TW19	1896138	Tiddy Widdy Beach	Tiddy_Widdy	SA	SA	Vandiemenella	P24XY	-34.396459	137.944959	0.0711634
TW18	1896139	Tiddy Widdy Beach	Tiddy_Widdy	SA	SA	Vandiemenella	P24XY	-34.396459	137.944959	0.0792079
CB02	1896140	Coffin Bay	Coffin_Bay	SA	SA	Vandiemenella	P24XY-Trans	-34.621398	135.451228	0.0965347
KL02	1896146	Kellidie Bay Conservation Park	Kellidie_Bay	SA	SA	Vandiemenella	P24XY-Trans	-34.613558	135.518687	0.0934406
KL07	1896148	Kellidie Bay Conservation Park	Kellidie_Bay	SA	SA	Vandiemenella	P24XY-Trans	-34.613558	135.518687	0.0884901
KL14	1896149	Kellidie Bay Conservation Park	Kellidie_Bay	SA	SA	Vandiemenella	P24XY-Trans	-34.613558	135.518687	0.107054
KL20	1896151	Kellidie Bay Conservation Park	Kellidie_Bay	SA	SA	Vandiemenella	P24XY-Trans	-34.613558	135.518687	0.0884901
PR31	1896152	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.0705446
PR33	1896154	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.0637376
PR34	1896155	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.0655941
PR37	1896156	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.180074
PR36	1896157	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.0625
AG01	1896158	Alligator Gorge	Alligator_Gg	SA	SA	Vandiemenella	P25XY	-32.705052	138.103107	0.0655941
AG04	1896159	Alligator Gorge	Alligator_Gg	SA	SA	Vandiemenella	P25XY	-32.705052	138.103107	0.0649752
AG05	1896160	Alligator Gorge	Alligator_Gg	SA	SA	Vandiemenella	P25XY	-32.705052	138.103107	0.125
AG02	1896161	Alligator Gorge	Alligator_Gg	SA	SA	Vandiemenella	P25XY	-32.705052	138.103107	0.0693069
AG07	1896162	Alligator Gorge	Alligator_Gg	SA	SA	Vandiemenella	P25XY	-32.705052	138.103107	0.112624
BF02	1896164	Bart's Farm	Barts_Farm	SA	SA	Vandiemenella	P45bXY	-33.13172778	136.2759944	0.0872525
BF03	1896165	Bart's Farm	Barts_Farm	SA	SA	Vandiemenella	P45bXY	-33.13172778	136.2759944	0.0946782
BF04	1896166	Bart's Farm	Barts_Farm	SA	SA	Vandiemenella	P45bXY	-33.13172778	136.2759944	0.103342
BF08	1896167	Bart's Farm	Barts_Farm	SA	SA	Vandiemenella	P45bXY	-33.13172778	136.2759944	0.0878713
BF09	1896168	Bart's Farm	Barts_Farm	SA	SA	Vandiemenella	P45bXY	-33.13172778	136.2759944	0.0773515
BF10	1896169	Bart's Farm	Barts_Farm	SA	SA	Vandiemenella	P45bXY	-33.13172778	136.2759944	0.0884901
KI01	1896170	Kimba Yates Road	Kimba	SA	SA	Vandiemenella	P45bXY	-33.132997	136.421448	0.0860149
KI03	1896171	Kimba Yates Road	Kimba	SA	SA	Vandiemenella	P45bXY	-33.132997	136.421448	0.0977723
KI07	1896172	Kimba Yates Road	Kimba	SA	SA	Vandiemenella	P45bXY	-33.132997	136.421448	0.0730198
KI09	1896173	Kimba Yates Road	Kimba	SA	SA	Vandiemenella	P45bXY	-33.132997	136.421448	0.0915842
KI19	1896174	Kimba Yates Road	Kimba	SA	SA	Vandiemenella	P45bXY	-33.132997	136.421448	0.072401
KI20	1896175	Kimba Yates Road	Kimba	SA	SA	Vandiemenella	P45bXY	-33.132997	136.421448	0.0878713
LB01	1896176	8.5 km NW of Lucky Bay	Lucky_Bay_NW	SA	SA	Vandiemenella	P45bXY	-33.658505	136.976385	0.191213
LB02	1896177	8.5 km NW of Lucky Bay	Lucky_Bay_NW	SA	SA	Vandiemenella	P45bXY	-33.658505	136.976385	0.0655941
LB04	1896178	8.5 km NW of Lucky Bay	Lucky_Bay_NW	SA	SA	Vandiemenella	P45bXY	-33.658505	136.976385	0.0779703
LB09	1896179	8.5 km NW of Lucky Bay	Lucky_Bay_NW	SA	SA	Vandiemenella	P45bXY	-33.658505	136.976385	0.0897277
LB08	1896180	8.5 km NW of Lucky Bay	Lucky_Bay_NW	SA	SA	Vandiemenella	P45bXY	-33.658505	136.976385	0.163366
LB03	1896181	8.5 km NW of Lucky Bay	Lucky_Bay_NW	SA	SA	Vandiemenella	P45bXY	-33.658505	136.976385	0.0878713
FBVV10	1896182	Fitzgerald Bay	Fitzgerald_Bay	SA	SA	Vandiemenella	P45bXO	-32.936184	137.753952	0.14047
FBVV11	1896183	Fitzgerald Bay	Fitzgerald_Bay	SA	SA	Vandiemenella	P45bXO	-32.936184	137.753952	0.0717822
MH01	1896188	12.4 km N of Mount Hope	Mt_Hope	SA	SA	Vandiemenella	P45c	-34.02643	135.277773	0.195545
MH08	1896189	12.4 km N of Mount Hope	Mt_Hope	SA	SA	Vandiemenella	P45c	-34.02643	135.277773	0.188738
MH03	1896190	12.4 km N of Mount Hope	Mt_Hope	SA	SA	Vandiemenella	P45c	-34.02643	135.277773	0.183168
MH05	1896191	12.4 km N of Mount Hope	Mt_Hope	SA	SA	Vandiemenella	P45c	-34.02643	135.277773	0.1875
MH06	1896192	12.4 km N of Mount Hope	Mt_Hope	SA	SA	Vandiemenella	P45c	-34.02643	135.277773	0.189975
MH04	1896193	12.4 km N of Mount Hope	Mt_Hope	SA	SA	Vandiemenella	P45c	-34.02643	135.277773	0.188119
MH09	1896194	12.4 km N of Mount Hope	Mt_Hope	SA	SA	Vandiemenella	P45c	-34.02643	135.277773	0.189975
SH01	1896195	Sheringa Beach	Sheringa_Beach	SA	SA	Vandiemenella	P45c	-33.870902	135.172163	0.186262
SH03	1896196	Sheringa Beach	Sheringa_Beach	SA	SA	Vandiemenella	P45c	-33.870902	135.172163	0.191213
SH04	1896197	Sheringa Beach	Sheringa_Beach	SA	SA	Vandiemenella	P45c	-33.870902	135.172163	0.1875
SH08	1896198	Sheringa Beach	Sheringa_Beach	SA	SA	Vandiemenella	P45c	-33.870902	135.172163	0.194307
SH09	1896199	Sheringa Beach	Sheringa_Beach	SA	SA	Vandiemenella	P45c	-33.870902	135.172163	0.200495
SH11	1896200	Sheringa Beach	Sheringa_Beach	SA	SA	Vandiemenella	P45c	-33.870902	135.172163	0.196163
SH12	1896201	Sheringa Beach	Sheringa_Beach	SA	SA	Vandiemenella	P45c	-33.870902	135.172163	0.1875
PE02	1896202	Peebinga East Boundary Road	Peebinga_E	SA	SA	Vandiemenella	P50	-34.990605	140.809993	0.0618812
PE06	1896203	Peebinga East Boundary Road	Peebinga_E	SA	SA	Vandiemenella	P50	-34.990605	140.809993	0.0550743
PE10	1896204	Peebinga East Boundary Road	Peebinga_E	SA	SA	Vandiemenella	P50	-34.990605	140.809993	0.0457921
PE15	1896205	Peebinga East Boundary Road	Peebinga_E	SA	SA	Vandiemenella	P50	-34.990605	140.809993	0.0556931
PE17	1896206	Peebinga East Boundary Road	Peebinga_E	SA	SA	Vandiemenella	P50	-34.990605	140.809993	0.049505
PE20	1896207	Peebinga East Boundary Road	Peebinga_E	SA	SA	Vandiemenella	P50	-34.990605	140.809993	0.0600248
OY02	1896208	20 km N of Ouyen	Ouyen_N	VIC	regional	Vandiemenella	P50	-34.893899	142.302501	0.214109
OY03	1896209	20 km N of Ouyen	Ouyen_N	VIC	regional	Vandiemenella	P50	-34.893899	142.302501	0.215965
OY04	1896210	20 km N of Ouyen	Ouyen_N	VIC	regional	Vandiemenella	P50	-34.893899	142.302501	0.215347
OY10	1896211	20 km N of Ouyen	Ouyen_N	VIC	regional	Vandiemenella	P50	-34.893899	142.302501	0.21349
OY14	1896212	20 km N of Ouyen	Ouyen_N	VIC	regional	Vandiemenella	P50	-34.893899	142.302501	0.218441
OY15	1896213	20 km N of Ouyen	Ouyen_N	VIC	regional	Vandiemenella	P50	-34.893899	142.302501	0.217203
PR11	1896214	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.179455
PR10	1896215	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.184406
TG03	1896216	Telowie Gorge Conservation Park	Telowie_Gg	SA	SA	Vandiemenella	P24XO	-33.025312	138.089009	0.0507426
SL06	1896219	SugarLoaf Hill	Sugarloaf	SA	SA	Vandiemenella	viatica17	-36.033191	140.333153	0.0439356
SL09	1896220	SugarLoaf Hill	Sugarloaf	SA	SA	Vandiemenella	viatica17	-36.033191	140.333153	0.049505
SL12	1896221	SugarLoaf Hill	Sugarloaf	SA	SA	Vandiemenella	viatica17	-36.033191	140.333153	0.0420792
SL13	1896222	SugarLoaf Hill	Sugarloaf	SA	SA	Vandiemenella	viatica17	-36.033191	140.333153	0.0402228
SL26	1896223	SugarLoaf Hill	Sugarloaf	SA	SA	Vandiemenella	viatica17	-36.033191	140.333153	0.0439356
KS09	1896224	7 km SE of Keith	Keith_S	SA	SA	Vandiemenella	viatica19	-36.149194	140.421194	0.0445545
KS07	1896225	7 km SE of Keith	Keith_S	SA	SA	Vandiemenella	viatica19	-36.149194	140.421194	0.0464109
KS15	1896226	7 km SE of Keith	Keith_S	SA	SA	Vandiemenella	viatica19	-36.149194	140.421194	0.0408416
KS04	1896227	7 km SE of Keith	Keith_S	SA	SA	Vandiemenella	viatica19	-36.149194	140.421194	0.134901
KS06	1896228	7 km SE of Keith	Keith_S	SA	SA	Vandiemenella	viatica19	-36.149194	140.421194	0.0550743
KS08	1896229	7 km SE of Keith	Keith_S	SA	SA	Vandiemenella	viatica19	-36.149194	140.421194	0.039604
KS21	1896230	7 km SE of Keith	Keith_S	SA	SA	Vandiemenella	viatica19	-36.149194	140.421194	0.0513614
BH04	1896231	Bullock Road	Bullock_Rd	VIC	regional	Vandiemenella	viatica19	-36.786518	144.154465	0.0408416
BH01	1896232	Bullock Road	Bullock_Rd	VIC	regional	Vandiemenella	viatica19	-36.786518	144.154465	0.0445545
BH05	1896233	Bullock Road	Bullock_Rd	VIC	regional	Vandiemenella	viatica19	-36.786518	144.154465	0.0544554
BH06	1896234	Bullock Road	Bullock_Rd	VIC	regional	Vandiemenella	viatica19	-36.786518	144.154465	0.052599
BH08	1896235	Bullock Road	Bullock_Rd	VIC	regional	Vandiemenella	viatica19	-36.786518	144.154465	0.052599
BH09	1896236	Bullock Road	Bullock_Rd	VIC	regional	Vandiemenella	viatica19	-36.786518	144.154465	0.0655941
BH10	1896237	Bullock Road	Bullock_Rd	VIC	regional	Vandiemenella	viatica19	-36.786518	144.154465	0.0408416
AS06	1896238	Anglesea	Anglesea	VIC	melbourne	Vandiemenella	viatica19	-38.414491	144.183676	0.0482673
AS01	1896239	Anglesea	Anglesea	VIC	melbourne	Vandiemenella	viatica19	-38.414491	144.183676	0.0445545
AS03	1896240	Anglesea	Anglesea	VIC	melbourne	Vandiemenella	viatica19	-38.414491	144.183676	0.0482673
AS09	1896241	Anglesea	Anglesea	VIC	melbourne	Vandiemenella	viatica19	-38.414491	144.183676	0.0457921
AS13	1896242	Anglesea	Anglesea	VIC	melbourne	Vandiemenella	viatica19	-38.414491	144.183676	0.0482673
